km_cluster,best_crop,median_yield_kg_per_ha,avg_yield_kg_per_ha,n_obs,crop_pop_median,relative_yield_index
0,GROUND BEAN(NZAMA),3663.40380859375,6820.435540374957,57,2442.269287109375,1.4999999500176688
1,Cucumber,424.005126953125,8328.818435886928,35,186.90838623046875,2.2685184731641863
2,FINGER MILLET(MAWERE),4579.25537109375,14353.64071843594,79,2165.478759765625,2.1146618734738243
3,FINGER MILLET(MAWERE),6868.88330078125,39289.21705561717,37,2165.478759765625,3.171992922952837
4,MAIZE,3663.40380859375,16879.00478716703,343,3052.836669921875,1.1999999360226172
5,TOMATO,11333.65625,109080.67932579735,88,3847.7955322265625,2.9454933753825725
6,RICE,12989.8212890625,56629.491806920196,318,4884.53857421875,2.6593753108276226
