km_cluster,crop_code,median_yield_kg_per_ha,avg_yield_kg_per_ha,n_obs,crop_pop_median,relative_yield_index
0,AVOCADO,0.0,0.0,3,726.1111259460449,0.0
0,BANANA,6784.08203125,52218.87115905764,15,3443.599853515625,1.9700552676943648
0,BEANS,1910.6178588867188,42874.62589913795,380,3261.956298828125,0.5857276075627127
0,CABBAGE,4341.8125,4341.8125,1,8989.87109375,0.4829671587859079
0,CASSAVA,4837.44873046875,35981.86119107998,582,3831.92041015625,1.2624084565137141
0,COTTON,0.0,2092.653931884766,25,992.1719360351562,0.0
0,COW PEAS (KHOBWE),1107.4164733886719,13580.733016693232,132,1221.1346435546875,0.9068749946893773
0,Chillies,96093.16570312499,96093.16570312499,1,49954.605678710934,1.9236097332277982
0,Cucumber,3174.9501953125,50029.45375279018,7,186.90838623046875,16.986665282089614
0,Eggplant,99997.25,99997.25,1,9692.7568359375,10.316698509266594
0,FINGER MILLET(MAWERE),1560.2969360351562,4502.718775699013,38,2165.478759765625,0.7205320897278304
0,GREEN PEA (NSAWAWA),3793.42529296875,31107.30793426516,16,869.8141479492188,4.361190608261084
0,GROUND BEAN(NZAMA),3663.40380859375,24785.892918009507,19,2442.269287109375,1.4999999500176688
0,GROUNDNUT/PEANUTS,2388.05078125,19564.438789428066,1137,2442.269287109375,0.9777999477184816
0,IRISH [MALAWI] POTATO,9958.353515625,33148.36827038335,51,7113.109375,1.4000000549162088
0,MAIZE,2985.063720703125,26132.94162920478,4082,3052.836669921875,0.977800008141122
0,MANGO,488.4538879394531,598.3559997558593,5,1567.631591796875,0.31158716786229723
0,NKHWANI,1357.3929443359375,16412.056758872666,120,1602.7392578125,0.8469206314872304
0,ONION,20.228857040405273,4597.343989181519,5,7494.7138671875,0.002699083300427111
0,"OTHER, PERMANENT CROP (SPECIFY)",879.2169799804688,2357.914335886637,6,897.7661437988281,0.979338534933084
0,"OTHER, TEMPORARY CROP (SPECIFY)",3193.267333984375,16349.406755530315,23,1623.1322021484375,1.9673488886226573
0,PAPRIKA,445.5105285644531,628.7825469970703,4,1433.0162963867188,0.31089006432640465
0,PEARL MILLET(MCHEWERE),846.6533813476562,3076.1466302173894,123,1113.1102294921875,0.7606195315749711
0,PIGEONPEA(NANDOLO),2442.269287109375,17611.47403590917,546,2442.269287109375,1.0
0,RICE,4463.48291015625,38203.54390277103,432,4884.53857421875,0.9137982723107382
0,SORGHUM,1186.7903442382812,6335.6154299885775,242,1397.6207885742188,0.8491504662355402
0,SOYABEAN,2442.269287109375,15265.569966061734,816,2900.19482421875,0.8421052498661946
0,SUGAR CANE,2594.9111328125,8674.700841712951,20,2170.90625,1.195312387539766
0,SUNFLOWER,1831.701904296875,14407.026409839445,42,1980.9323120117188,0.9246665790597892
0,SWEET POTATO,3059.620849609375,25539.573735682658,262,4579.25537109375,0.6681481161594593
0,Sesame,702.1524353027344,6204.368059555294,64,555.6162719726562,1.2637362703756265
0,TANAPOSI,3243.896728515625,9056.610758463541,6,3663.40380859375,0.8854870765013593
0,TEA,801.36962890625,35671.5504584961,10,1068.4927978515625,0.7500000285613325
0,THERERE/OKRA,5020.22021484375,14628.760977608817,14,1114.9879150390625,4.502488454924529
0,TOBACCO,3663.40380859375,30977.101230761382,194,3968.687744140625,0.9230768568281552
0,TOMATO,3663.40380859375,55644.59009148093,51,3847.7955322265625,0.9520786065453658
0,WHEAT,7632.091796875,10684.928515625,5,0.0,inf
1,BANANA,5379.09814453125,39805.63307342529,30,3443.599853515625,1.562056677125144
1,BEANS,3713.22607421875,51707.08241202889,537,3261.956298828125,1.1383432928125818
1,CABBAGE,2400.01220703125,29969.751591609074,13,8989.87109375,0.26696847841342275
1,CASSAVA,5747.880859375,39051.50182544961,401,3831.92041015625,1.5000000637123423
1,COFFEE,4613.17578125,24212.3822175036,19,5220.3505859375,0.8836907991729333
1,COTTON,1221.1346435546875,5578.147086620331,30,992.1719360351562,1.2307691834486822
1,COW PEAS (KHOBWE),1646.9501342773438,14412.30465090993,166,1221.1346435546875,1.3487047828592593
1,Chickpea,763.2091674804688,763.2091674804688,1,964.6964111328125,0.7911392212854367
1,Cucumber,0.0,19002.53120320638,15,186.90838623046875,0.0
1,Eggplant,20776.251953125,20776.251953125,1,9692.7568359375,2.143482221290604
1,FINGER MILLET(MAWERE),2442.269287109375,9389.710937799193,51,2165.478759765625,1.1278195531106052
1,GREEN PEA (NSAWAWA),88.28804016113281,11004.132301839192,15,869.8141479492188,0.10150218913924497
1,GROUND BEAN(NZAMA),996.8446655273438,20907.04894956734,35,2442.269287109375,0.4081632892772405
1,GROUNDNUT/PEANUTS,2677.63525390625,21396.949275332572,1473,2442.269287109375,1.096371832557191
1,IRISH [MALAWI] POTATO,5495.10595703125,26041.53498911635,107,7113.109375,0.7725321891358166
1,MAIZE,3358.120361328125,23561.567505746767,4649,3052.836669921875,1.1000000079971728
1,MANGO,1932.201286315918,1932.201286315918,2,1567.631591796875,1.2325608238739054
1,NKHWANI,1879.1676025390625,23155.495682439498,186,1602.7392578125,1.1724724364110517
1,ONION,5109.2275390625,30798.38169138055,19,7494.7138671875,0.6817108203998469
1,"OTHER, PERMANENT CROP (SPECIFY)",1290.2508544921875,14483.50139702691,9,897.7661437988281,1.4371792291393286
1,"OTHER, TEMPORARY CROP (SPECIFY)",2442.269287109375,19228.533229206885,43,1623.1322021484375,1.5046644283667698
1,PAPRIKA,12550.55078125,12550.55078125,2,1433.0162963867188,8.758135418903194
1,PEARL MILLET(MCHEWERE),1758.8917236328125,12276.250212304732,68,1113.1102294921875,1.5801595179259444
1,PIGEONPEA(NANDOLO),2930.72314453125,22408.622737838647,649,2442.269287109375,1.2
1,PINEAPPLE,3017.7914123535156,2939.9129180908203,4,1224.1875,2.465138234423661
1,RICE,5431.349609375,59015.84511577212,425,4884.53857421875,1.11194732662004
1,SORGHUM,1904.9700927734375,27722.155989940362,211,1397.6207885742188,1.3630092714324824
1,SOYABEAN,3052.836669921875,13094.193505309895,1280,2900.19482421875,1.0526315833779352
1,SUGAR CANE,2442.269287109375,8272.077476501465,13,2170.90625,1.124999887539766
1,SUNFLOWER,1691.5156860351562,10453.085882681387,54,1980.9323120117188,0.8538987807803247
1,SWEET POTATO,5138.53466796875,22147.977079668683,418,4579.25537109375,1.1221332403528779
1,Sesame,1111.2325439453125,13653.065060296443,63,555.6162719726562,2.0
1,TANAPOSI,3372.1630859375,3372.1630859375,1,3663.40380859375,0.9204999672782327
1,TEA,199.36892700195312,925.1964172363281,5,1068.4927978515625,0.186588929193372
1,THERERE/OKRA,7869.465576171875,55919.90144305759,18,1114.9879150390625,7.057893157430478
1,TOBACCO,3663.40380859375,15838.657145289088,442,3968.687744140625,0.9230768568281552
1,TOMATO,12895.181640625,91114.02082606724,70,3847.7955322265625,3.3513167559511885
1,WHEAT,0.0,0.0,1,0.0,
2,BANANA,3443.599853515625,23486.11484375,5,3443.599853515625,1.0
2,BEANS,2166.7520751953125,23211.393272264217,246,3261.956298828125,0.6642492653791008
2,CABBAGE,4529.642852783203,4529.642852783203,2,8989.87109375,0.5038607123001277
2,CASSAVA,3663.40380859375,27428.05367871933,345,3831.92041015625,0.9560229379723394
2,COCOA,0.0,0.0,1,122.11347198486328,0.0
2,COTTON,1746.2225952148438,3009.363596598307,6,992.1719360351562,1.7599999876966574
2,COW PEAS (KHOBWE),610.5673217773438,5546.850006739299,117,1221.1346435546875,0.5
2,Chickpea,952.4850463867188,805.9489034016927,3,964.6964111328125,0.9873417537318768
2,Cucumber,0.0,4137.204296875,5,186.90838623046875,0.0
2,Eggplant,469.6181945800781,469.6181945800781,2,9692.7568359375,0.04845042566619343
2,FINGER MILLET(MAWERE),4884.53857421875,18474.903243671764,55,2165.478759765625,2.2556391062212104
2,GREEN PEA (NSAWAWA),1589.1846923828125,27031.525983537947,7,869.8141479492188,1.8270393694212386
2,GROUND BEAN(NZAMA),2249.330078125,25423.10078774558,27,2442.269287109375,0.9210000264906356
2,GROUNDNUT/PEANUTS,2249.330078125,12319.72990477207,978,2442.269287109375,0.9210000264906356
2,IRISH [MALAWI] POTATO,11380.9755859375,49262.48771676352,43,7113.109375,1.6000000823743132
2,MAIZE,2442.269287109375,17926.591473482935,3974,3052.836669921875,0.7999999840056543
2,MANGO,0.0,0.0,1,1567.631591796875,0.0
2,NKHWANI,1831.701904296875,15559.728766390346,187,1602.7392578125,1.1428570775740996
2,ONION,8547.942626953125,8547.942626953125,2,7494.7138671875,1.1405295490167744
2,ORANGE,10990.2119140625,10990.2119140625,1,10990.2119140625,1.0
2,"OTHER, PERMANENT CROP (SPECIFY)",778.784912109375,1610.5272216796875,4,897.7661437988281,0.8674696829332489
2,"OTHER, TEMPORARY CROP (SPECIFY)",1378.836669921875,9767.978661408295,37,1623.1322021484375,0.8494912910339626
