HHID,total_land_ha,n_plots,hh_has_irrigated_plot,land_tenure_mode,hh_size,has_farm_equipment,has_extension_access,District,region,is_urban,hhweight,head_age,head_is_male,head_marital_status,km_cluster
0041EC35BD294243B9CE9817E87BD9D4,1.6188000440597534,2,0.0,CUSTOMARY,4.0,1.0,0.0,Balaka,Southern,0.0,151.99152666101793,73,0.0,WIDOW OR WIDOWER,2
0046CF3DFDD3497FA7F846F784D32286,1.8211500644683838,3,0.0,CUSTOMARY,7.0,1.0,0.0,Mchinji,Central,0.0,109.16254558933201,37,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00496180B5FB466E9F0D9012E6FC2FDB,0.8094000220298767,2,0.0,FREEHOLD,3.0,1.0,1.0,Lilongwe City,Central,1.0,70.61556532190919,54,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
004B930CAC8443CA8C42CCB57182762B,3.237600088119507,4,0.0,FREEHOLD,4.0,1.0,0.0,Blantyre City,Southern,1.0,67.91101672959391,90,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0054B564A2574DAFA31105010367728D,0.20235000550746918,1,0.0,CUSTOMARY,2.0,1.0,0.0,Thyolo,Southern,0.0,69.15453200682357,61,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0055520C09804AE48EBD1DAD8DE392A9,1.416450023651123,3,0.0,CUSTOMARY,3.0,1.0,0.0,Ntchisi,Central,0.0,84.2711819653569,23,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0058B5769877449C87E00938213A8B32,0.6070500016212463,2,0.0,FREEHOLD,4.0,1.0,1.0,Chitipa,North,0.0,128.27775647112597,31,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
005A0B4E61B6426DB9952C804FBA6F71,0.3485236167907715,4,0.0,CUSTOMARY,5.0,1.0,0.0,Zomba,Southern,0.0,124.97000234224676,34,0.0,POLYGAMOUS MARRIED OR NON-FORMAL UNION,2
0060CB84F17344C69F9F2AD91178A02F,0.5261099934577942,4,0.0,LEASEHOLD,6.0,1.0,1.0,Zomba City,Southern,1.0,29.20442418431407,60,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0061C81036BC48DD9BD5910888C12D1B,0.08094000071287155,2,0.0,LEASEHOLD,4.0,1.0,1.0,Karonga,North,0.0,31.00323209360678,25,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
006308CF3D8040C19E402318C0B83A58,0.7284600138664246,4,0.0,FREEHOLD,10.0,1.0,0.0,Mzimba,North,0.0,152.56175404981659,32,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
006A7D7F4D564E01AFC9B74DE5C6A832,0.6070500016212463,3,0.0,COMMUNITY/GROUP RIGHT,4.0,1.0,1.0,Blantyre,Southern,0.0,182.09119390203375,27,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
006FE1A1ABAD443C979EF8E692EB9467,1.0117499828338623,3,0.0,CUSTOMARY,3.0,1.0,0.0,Phalombe,Southern,0.0,193.08559030759986,65,0.0,WIDOW OR WIDOWER,2
0070DEA6D0D447E0B2A95D5CE1A59C82,0.40470001101493835,2,0.0,CUSTOMARY,5.0,1.0,0.0,Nsanje,Southern,0.0,6.478051016195271,40,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
0071969CD7434DE9BF6D935433EF6E9A,0.7082250118255615,7,0.0,FREEHOLD,7.0,1.0,0.0,Karonga,North,0.0,74.50064544480774,52,0.0,WIDOW OR WIDOWER,2
0078BCAB92C8483AA509636EB861ABE9,2.2258501052856445,3,0.0,CUSTOMARY,7.0,1.0,0.0,Nkhatabay,North,0.0,39.69723783366821,49,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
007C7AD57A2C4A8B94F025C4E64D08EA,0.8094000220298767,2,0.0,Unknown,3.0,1.0,0.0,Phalombe,Southern,0.0,92.99001005841282,24,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
007CAC128AB74C0E9BBB974B33F7A0F2,1.3093987703323364,2,0.0,CUSTOMARY,4.0,1.0,0.0,Balaka,Southern,0.0,99.04224814505261,43,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
007D8295AE5C40F5BF2FF951C619B20D,1.2141000032424927,2,0.0,CUSTOMARY,1.0,1.0,1.0,Kasungu,Central,0.0,48.293291316592565,41,1.0,DIVORCED,5
007E04F2CF584A0F8D9D0DA2CB4010C3,0.8094000220298767,2,0.0,CUSTOMARY,5.0,1.0,1.0,Lilongwe,Central,0.0,29.097433528040852,43,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
007FCFF2EFD44DC3A822ABDC80195FB6,1.1129250526428223,2,0.0,CUSTOMARY,8.0,1.0,0.0,Salima,Central,0.0,114.4309168186118,54,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00835534ACF04C7B8A35E04C3643D3C8,1.2141000032424927,2,0.0,OTHER(SPECIFY),4.0,1.0,0.0,Mchinji,Central,0.0,296.2868676753942,26,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
008F215C16FA4CF08DC67BE94F530D28,0.8903400301933289,4,0.0,CUSTOMARY,7.0,1.0,0.0,Chitipa,North,0.0,62.70144445640528,32,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
008F8F92FECC47E88AE645CF8302AA0A,0.8094000220298767,5,0.0,CUSTOMARY,4.0,1.0,0.0,Mulanje,Southern,0.0,83.87557231850644,55,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00905AE55023488E90770E2D22128A53,0.7284600138664246,3,0.0,CUSTOMARY,3.0,1.0,0.0,Blantyre City,Southern,1.0,175.6301429418222,28,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
00984987D8ED471C87781298C860E494,1.2141000032424927,5,0.0,FREEHOLD,3.0,1.0,1.0,Rumphi,North,1.0,96.84460994193286,27,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
009B793105C64B4D8A53DD835B79B1EA,0.8094000220298767,2,0.0,FREEHOLD,4.0,1.0,0.0,Mangochi,Southern,0.0,196.8836549687687,56,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
009CC47B70AB45C08311BECEAB286290,0.3237600028514862,8,0.0,FREEHOLD,7.0,1.0,1.0,Rumphi,North,0.0,90.25555751293095,52,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
009E472A07C24B019BE861C9CEDB8E63,0.6070500016212463,3,0.0,CUSTOMARY,5.0,1.0,1.0,Dedza,Central,0.0,88.37214625455442,37,0.0,DIVORCED,5
00A4777FC53A4BBD9845E18942096462,1.2141000032424927,3,0.0,CUSTOMARY,8.0,1.0,0.0,Kasungu,Central,0.0,115.52490683377174,42,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
00A94DDA39EF4632A6F73B26EC901531,1.6188000440597534,2,0.0,LEASEHOLD,6.0,1.0,0.0,Mzuzu City,North,1.0,98.59477084530077,53,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
00B2940A46894D51AD6A079F294158E3,0.6070500016212463,1,0.0,CUSTOMARY,8.0,1.0,0.0,Rumphi,North,0.0,53.70758557427586,36,0.0,SEPARATED,2
00B7C867AA8A4789996687D1B9639C07,0.40470001101493835,2,0.0,CUSTOMARY,4.0,1.0,0.0,Phalombe,Southern,0.0,193.08559030759986,22,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
00BC76753EBD4EB3B7074C9245125D50,0.20235000550746918,2,0.0,CUSTOMARY,3.0,1.0,0.0,Balaka,Southern,0.0,207.39355191978217,26,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00BEC1AD905E49ED965BF574D14ECAA3,2.4282000064849854,3,0.0,CUSTOMARY,5.0,1.0,0.0,Mchinji,Central,1.0,68.54915619419626,60,0.0,DIVORCED,6
00BFFF3AEAA743B2B7475C552757F6FC,0.40470001101493835,2,0.0,CUSTOMARY,2.0,0.0,0.0,Chiradzulu,Southern,0.0,143.75019360274456,24,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,4
00C07089395F4174AEE37E3035356021,0.8094000220298767,2,0.0,CUSTOMARY,6.0,1.0,0.0,Mchinji,Central,1.0,75.66123602310898,39,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
00C3F0F6B7274035A6FCDA388F9893D8,1.2141000032424927,2,0.0,CUSTOMARY,4.0,1.0,0.0,Rumphi,North,0.0,168.01345657220207,29,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00C4EB48388A4E688BC53974FA3A927E,0.40470001101493835,1,0.0,CUSTOMARY,1.0,1.0,0.0,Dowa,Central,0.0,145.2833856615365,21,1.0,NEVER MARRIED,0
00C8370783B64BD28CF6D6AC7B6B0140,0.6070500016212463,3,1.0,CUSTOMARY,8.0,1.0,1.0,Mwanza,Southern,1.0,27.174543978818093,41,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,3
00C89045A44947638CE96E64B47380CB,1.517625093460083,5,0.0,CUSTOMARY,4.0,1.0,1.0,Mwanza,Southern,0.0,68.88224786082871,32,0.0,SEPARATED,5
00D2204297C34DA1949604CAEB3D8464,0.9105750322341919,3,0.0,CUSTOMARY,3.0,1.0,0.0,Mwanza,Southern,0.0,68.88224786082871,24,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00D9C6845EFE47E3B1DBCCCCC62916A6,0.6030029654502869,5,0.0,FREEHOLD,2.0,1.0,0.0,Machinga,Southern,0.0,126.04104563740646,70,0.0,DIVORCED,2
00DD4453CD8544B6A44B15EFB5F5EE82,2.4282000064849854,4,0.0,LEASEHOLD,7.0,1.0,0.0,Kasungu,Central,0.0,108.19439131046741,51,1.0,POLYGAMOUS MARRIED OR NON-FORMAL UNION,1
00E0C56F73634444B24CFFDAD75FE86E,0.6070500016212463,1,0.0,CUSTOMARY,5.0,1.0,0.0,Lilongwe City,Central,1.0,91.63854604632745,65,0.0,WIDOW OR WIDOWER,6
00E1D81A31B64B90B0DC678C059A721D,1.1129250526428223,5,0.0,CUSTOMARY,5.0,1.0,0.0,Machinga,Southern,0.0,396.1772490739221,22,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00E29ED68A564B0FB4362260265AB25A,1.517625093460083,3,0.0,CUSTOMARY,5.0,1.0,0.0,Dedza,Central,0.0,140.33019064482423,44,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
00EEAF8FC5C94D96AD7BD665805D74F2,0.6070500016212463,3,0.0,FREEHOLD,4.0,1.0,1.0,Salima,Central,0.0,94.84976190470351,40,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
00EF44E77F2C4BB5AD1651E6D7FFF17F,1.0117499828338623,5,0.0,CUSTOMARY,8.0,1.0,1.0,Dedza,Central,0.0,118.5800885267979,48,0.0,DIVORCED,5
00F6D8D36AF04D29A21005DB47F9B32B,0.25900799036026,3,0.0,CUSTOMARY,4.0,1.0,0.0,Mulanje,Southern,0.0,121.35226578058685,48,0.0,DIVORCED,2
00FAAAC881BE4B09AA2D2E9B9E521F38,1.6188000440597534,5,0.0,CUSTOMARY,6.0,1.0,1.0,Mchinji,Central,0.0,53.645394468905025,36,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
00FAF117B92044509DB66F6964EDB374,1.8211500644683838,5,0.0,CUSTOMARY,6.0,1.0,0.0,Ntcheu,Central,0.0,178.79117333564224,42,0.0,SEPARATED,2
00FC3BBF7C3E4C65AFD005AA4DD635B5,1.4699958562850952,3,0.0,CUSTOMARY,5.0,1.0,0.0,Chikwawa,Southern,0.0,195.2664737098519,31,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
010019C2533249F49C799FF7BF647852,0.8094000220298767,2,0.0,FREEHOLD,4.0,1.0,0.0,Mwanza,Southern,0.0,38.320230628227776,46,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0101AF2B956044EFBB73288F73A35494,0.1618800014257431,2,0.0,FREEHOLD,3.0,1.0,1.0,Thyolo,Southern,0.0,228.32655202889845,24,0.0,DIVORCED,5
01039A0247D44A408F1258C2E722BDE3,0.8094000220298767,1,0.0,FREEHOLD,4.0,1.0,0.0,Chikwawa,Southern,0.0,3.675307894519278,27,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
01061E2FBC844D3D868C89243A318C26,0.1618800014257431,2,0.0,FREEHOLD,6.0,1.0,0.0,Kasungu,Central,0.0,320.6654324017206,51,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
01080A7DF61348748D9C94D2E1365499,3.4399499893188477,7,0.0,CUSTOMARY,9.0,1.0,1.0,Mzimba,North,0.0,42.638035643679125,52,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,1
01121E1FCACE41F281E9644171012CD7,1.6188000440597534,2,0.0,CUSTOMARY,4.0,1.0,0.0,Lilongwe City,Central,1.0,243.45071225686857,47,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0112201D9023412DAE881B8AE45C3EAA,1.0117499828338623,4,0.0,CUSTOMARY,4.0,1.0,1.0,Machinga,Southern,0.0,295.987815961932,55,0.0,SEPARATED,5
01133B88B82745DDAF201FBB5021D43E,1.6188000440597534,4,0.0,CUSTOMARY,7.0,1.0,0.0,Kasungu,Central,0.0,130.85821872510147,67,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
01144C27B9724A02A39B31B5298A66CA,2.0234999656677246,7,0.0,CUSTOMARY,3.0,1.0,1.0,Thyolo,Southern,0.0,199.6626565157384,63,0.0,WIDOW OR WIDOWER,5
0118F9698C84479AAD7F51EFDC62E510,0.8094000220298767,2,0.0,FREEHOLD,5.0,1.0,0.0,Chikwawa,Southern,0.0,88.70102889017475,34,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
011EF6FCBCDF4B86B25607A3277DFA87,0.8094000220298767,3,0.0,OTHER(SPECIFY),4.0,1.0,0.0,Dowa,Central,0.0,138.40294052822566,42,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0121543B66A24353BCD41BE2BFC30D37,0.8094000220298767,3,0.0,CUSTOMARY,6.0,1.0,0.0,Dedza,Central,0.0,151.44925322354212,48,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0122064F6EEA4973896A5E5FED0CE2FE,0.39999738335609436,2,0.0,CUSTOMARY,5.0,1.0,0.0,Zomba,Southern,0.0,127.43077214958232,30,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0122F6257E624A0294D3E794AA54DC82,0.40470001101493835,2,0.0,CUSTOMARY,2.0,1.0,0.0,Mzimba,North,0.0,97.06864095384442,21,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0125D807D6C74E02B75B7F74718EE11A,0.40470001101493835,1,0.0,CUSTOMARY,4.0,1.0,0.0,Zomba City,Southern,1.0,54.71906084053347,30,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0126D9C649C148E0B6AB0AF71314AB91,0.40470001101493835,2,1.0,CUSTOMARY,3.0,1.0,0.0,Mulanje,Southern,0.0,266.09311957914156,58,0.0,WIDOW OR WIDOWER,3
0128D42665BC4E68946F96E6A0B878EB,2.4282000064849854,6,0.0,FREEHOLD,5.0,1.0,0.0,Dowa,Central,0.0,159.8345899992373,44,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,1
012B8675735C4767948EF58C6B163C3A,1.6188000440597534,5,1.0,CUSTOMARY,5.0,1.0,0.0,Mchinji,Central,0.0,100.49902318819503,44,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,3
0132D10F3C5C40E38C2B1CF841B3A104,1.7199749946594238,3,0.0,CUSTOMARY,6.0,1.0,1.0,Balaka,Southern,0.0,37.337071579778225,45,1.0,WIDOW OR WIDOWER,5
0132EA70262641BDB32A04B5A9E4A62C,2.523498773574829,4,0.0,CUSTOMARY,6.0,1.0,1.0,Rumphi,North,0.0,56.39712568967275,45,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
01351A40384F4D25B59AF24F3468D861,1.416450023651123,4,0.0,CUSTOMARY,6.0,1.0,1.0,Mchinji,Central,0.0,131.73312136400332,45,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
0135664D39AA4535A70CE9A77C03DBCA,1.6188000440597534,3,0.0,FREEHOLD,8.0,1.0,0.0,Mangochi,Southern,0.0,56.56584625537821,40,1.0,POLYGAMOUS MARRIED OR NON-FORMAL UNION,0
013ACC73338A4D4195D6ACE10FBFF577,0.6070500612258911,4,0.0,CUSTOMARY,5.0,1.0,0.0,Machinga,Southern,0.0,84.01097948747653,31,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
013C5555674C443B8B4B3164BCDEB525,2.0234999656677246,3,0.0,CUSTOMARY,7.0,1.0,0.0,Mangochi,Southern,0.0,111.62474926674177,60,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
013ECB1084964945B647684E981B6994,0.8094000220298767,2,0.0,LEASEHOLD,8.0,1.0,1.0,Zomba City,Southern,1.0,83.382037160225,36,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0143A30F106547F1BB4DFCA8474052AA,0.7689300179481506,4,0.0,CUSTOMARY,7.0,1.0,0.0,Chikwawa,Southern,0.0,41.71720171991403,20,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
01442EBF7EEA4ADD8BD865A172DB6818,0.7675216197967529,3,0.0,CUSTOMARY,3.0,1.0,1.0,Machinga,Southern,0.0,295.987815961932,23,0.0,SEPARATED,5
01479A7F3F244E498B4F32C2D7E3AD90,0.24281999468803406,6,0.0,FREEHOLD,5.0,1.0,1.0,Mzimba,North,0.0,120.18547039212666,39,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
0148308C42664D4D8F04E630798F92F6,0.7082250118255615,3,0.0,CUSTOMARY,1.0,1.0,1.0,Blantyre,Southern,0.0,218.41950607693403,23,1.0,DIVORCED,5
014F304888D143119D137D665E851874,0.40470001101493835,1,0.0,CUSTOMARY,6.0,1.0,0.0,Nkhotakota,Central,0.0,151.6180905594927,50,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
01531DA979D645EDBDAEC8D5C8598885,1.2141000032424927,2,0.0,CUSTOMARY,4.0,1.0,1.0,Balaka,Southern,0.0,44.603898060113586,65,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
015547BA8E8E4EFC8C9E70EB5A4CBBBD,1.2141000032424927,3,0.0,CUSTOMARY,6.0,1.0,1.0,Mzimba,North,0.0,309.20851726440026,31,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
015DB80D6D5F4382863E3D3248097365,2.0234999656677246,3,0.0,CUSTOMARY,5.0,1.0,1.0,Lilongwe,Central,0.0,61.38369594278799,44,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
0164EA5FF725419690897C45E5C4410C,4.046999931335449,5,0.0,LEASEHOLD,7.0,1.0,1.0,Lilongwe City,Central,1.0,106.28172519342448,36,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,1
0166771A360B4465B4AE0A32B3345C68,1.2141000032424927,3,0.0,CUSTOMARY,4.0,1.0,1.0,Lilongwe City,Central,1.0,222.49441313002612,41,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,6
0168998D756E4393B733D72C90DE5A1F,0.8094000220298767,3,0.0,LEASEHOLD,5.0,1.0,0.0,Mchinji,Central,0.0,71.35818342905017,74,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
016F95FB42DF431F9015A98369D5EDF8,1.2141000032424927,2,0.0,CUSTOMARY,5.0,1.0,0.0,Mangochi,Southern,0.0,43.51982017711513,27,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,2
01753A7A402F41018A227536C7859A11,0.8094000220298767,2,0.0,CUSTOMARY,5.0,1.0,1.0,Phalombe,Southern,0.0,115.13849537729291,46,0.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,5
017A9E875081451B89437C75E1F0D124,1.6188000440597534,3,0.0,CUSTOMARY,3.0,1.0,0.0,Dowa,Central,0.0,108.63551568405214,20,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0180577606DB4A679A64CE30B2706149,0.7689300179481506,3,0.0,CUSTOMARY,5.0,1.0,1.0,Machinga,Southern,0.0,142.13267842103014,19,0.0,NEVER MARRIED,5
018252346C2E4B14B6254AA9B4A7B054,1.7199749946594238,5,0.0,CUSTOMARY,7.0,1.0,0.0,Balaka,Southern,0.0,286.2308023480528,42,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
0186CCA178244695952716B9838A0DBB,1.416450023651123,6,0.0,FREEHOLD,6.0,1.0,0.0,Mangochi,Southern,0.0,195.12950834475404,47,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
018734944C704750A3C4B3466661B64B,1.2141000032424927,3,0.0,CUSTOMARY,6.0,1.0,0.0,Mzimba,North,0.0,134.06610626490175,31,1.0,MONOGAMOUS MARRIED OR NON-FORMAL UNION,0
